                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.82419,                0.08753,                0.06727,                0.46103,                 1.0704,                0.99369,                0.99302,                0.99305,                0.70773,                0.99369,                0.99302,                0.99424,                0.99278,                 1.0669,                 0.0553,                0.00417,                0.43142,                  1.357,              0.0011816,              0.0011816,              0.0011816
                     64,                0.81972,                0.08571,                 0.0607,                0.46476,                  1.074,                0.98496,                0.99054,                 0.9905,                0.71219,                0.98809,                0.99369,                0.99375,                0.99296,                 1.0959,                0.05288,                 0.0043,                0.44037,                 1.3726,              0.0011684,              0.0011684,              0.0011684
                     65,                0.80382,                0.08782,                0.05363,                0.44889,                 1.0645,                0.98746,                0.99332,                 0.9929,                0.71424,                0.99059,                0.99647,                0.99456,                0.99425,                  1.128,                0.05279,                0.00517,                0.44639,                 1.3579,              0.0011552,              0.0011552,              0.0011552
                     66,                0.81887,                0.09544,                0.05669,                0.46163,                 1.0739,                0.99264,                0.99685,                0.99332,                0.72478,                0.99264,                0.99685,                0.99428,                0.99384,                 1.0617,                0.05845,                0.00535,                0.42928,                 1.3349,               0.001142,               0.001142,               0.001142
                     67,                0.81056,                0.07702,                0.05603,                0.45825,                 1.0703,                0.99335,                0.99685,                0.99357,                0.71964,                0.99335,                0.99685,                0.99432,                0.99406,                 1.0262,                 0.0503,                0.00387,                0.41428,                 1.3404,              0.0011288,              0.0011288,              0.0011288
                     68,                0.79075,                0.08411,                0.05399,                0.44699,                 1.0552,                0.99354,                0.99685,                0.99377,                0.69908,                0.99354,                0.99685,                 0.9943,                0.99296,                  1.087,                 0.0568,                0.00258,                0.43532,                 1.3635,              0.0011156,              0.0011156,              0.0011156
                     69,                0.78994,                0.08008,                0.06117,                0.45012,                 1.0614,                0.98675,                0.99369,                 0.9926,                0.71054,                0.98988,                0.99685,                0.99445,                0.99361,                 1.0862,                0.05699,                0.00535,                0.42742,                 1.3552,              0.0011024,              0.0011024,              0.0011024
                     70,                0.79233,                0.07565,                0.05962,                0.45652,                 1.0562,                0.99369,                0.99347,                0.99283,                0.70469,                0.99369,                0.99347,                0.99399,                 0.9938,                 1.0966,                0.05333,                0.00378,                0.44288,                 1.3665,              0.0010892,              0.0010892,              0.0010892
                     71,                0.77729,                0.07145,                0.06095,                0.44026,                 1.0567,                0.99059,                0.99655,                0.99312,                0.71564,                0.99059,                0.99655,                0.99436,                0.99304,                 1.0966,                0.05101,                 0.0047,                0.43683,                 1.3755,               0.001076,               0.001076,               0.001076
                     72,                0.77769,                0.07789,                0.06067,                0.43926,                 1.0532,                0.99346,                0.99685,                0.99291,                0.71335,                0.99346,                0.99685,                0.99456,                0.99377,                 1.1009,                0.05499,                0.00347,                0.43549,                 1.3792,              0.0010628,              0.0010628,              0.0010628
                     73,                0.76949,                0.07782,                0.05766,                 0.4383,                 1.0533,                0.98709,                0.98738,                0.99247,                0.70886,                0.99024,                0.99054,                0.99387,                0.99318,                 1.1001,                0.05537,                 0.0045,                0.43045,                 1.3668,              0.0010496,              0.0010496,              0.0010496
                     74,                0.75537,                0.08048,                0.05424,                0.42187,                 1.0406,                0.99334,                0.99054,                0.99256,                0.70885,                0.99017,                0.98738,                0.99229,                0.99229,                 1.0828,                0.05271,                0.00455,                 0.4242,                  1.401,              0.0010364,              0.0010364,              0.0010364
                     75,                0.75653,                0.07037,                0.05283,                0.43139,                 1.0408,                0.99278,                0.99054,                0.99266,                0.68956,                0.99278,                0.99054,                0.99409,                0.99333,                  1.097,                0.05015,                0.00424,                0.42728,                 1.3978,              0.0010232,              0.0010232,              0.0010232
                     76,                0.74781,                0.08295,                0.05254,                 0.4305,                 1.0439,                0.99059,                 0.9963,                0.99328,                0.68698,                0.99059,                 0.9963,                0.99412,                0.99381,                 1.1103,                0.05511,                0.00366,                0.42977,                 1.3931,                0.00101,                0.00101,                0.00101
                     77,                0.74655,                0.08421,                0.05862,                0.42965,                 1.0318,                0.99369,                0.99329,                 0.9936,                 0.7296,                0.99369,                0.99329,                 0.9937,                0.99335,                 1.0783,                 0.0535,                0.00295,                0.42465,                 1.3904,              0.0009968,              0.0009968,              0.0009968
                     78,                0.74946,                0.07578,                0.05738,                0.43365,                 1.0438,                 0.9935,                0.99685,                0.99367,                0.72104,                 0.9935,                0.99685,                 0.9941,                 0.9933,                 1.0917,                0.05219,                0.00361,                0.41934,                 1.4153,              0.0009836,              0.0009836,              0.0009836
                     79,                0.73423,                0.08775,                0.05639,                0.42531,                 1.0289,                0.99056,                 0.9933,                0.99302,                0.72037,                0.99371,                0.99646,                 0.9942,                0.99338,                 1.1036,                0.04872,                0.00207,                0.42963,                 1.4205,              0.0009704,              0.0009704,              0.0009704
                     80,                0.73356,                0.08001,                0.05574,                0.42436,                 1.0344,                0.99371,                0.99616,                0.99364,                0.69022,                0.99371,                0.99616,                0.99431,                0.99373,                  1.115,                0.05256,                0.00405,                0.42958,                 1.4314,              0.0009572,              0.0009572,              0.0009572
                     81,                0.72499,                 0.0725,                0.05396,                0.41526,                 1.0302,                0.99371,                0.99664,                0.99275,                0.69055,                0.99371,                0.99664,                0.99406,                0.99252,                 1.1089,                0.05025,                0.00808,                0.42569,                 1.4358,               0.000944,               0.000944,               0.000944
                     82,                0.72791,                0.07534,                 0.0506,                0.42128,                 1.0249,                0.99327,                0.99369,                0.99391,                0.71111,                0.99327,                0.99369,                0.99436,                0.99384,                 1.0966,                0.04956,                0.00336,                0.42538,                 1.4191,              0.0009308,              0.0009308,              0.0009308
                     83,                 0.7151,                 0.0675,                0.05096,                0.41219,                 1.0248,                0.99037,                0.99685,                0.99362,                0.70184,                0.99037,                0.99685,                0.99445,                0.99327,                 1.1074,                0.04872,                0.00326,                0.41645,                 1.4294,              0.0009176,              0.0009176,              0.0009176
                     84,                0.70755,                0.08574,                0.05152,                0.41094,                 1.0201,                0.99046,                0.99054,                0.99165,                0.71317,                0.99363,                0.99369,                0.99358,                0.99279,                 1.0982,                0.05342,                0.00514,                0.41588,                 1.4235,              0.0009044,              0.0009044,              0.0009044
                     85,                0.70707,                0.06802,                 0.0531,                0.40612,                 1.0214,                0.99371,                0.99682,                0.99279,                0.71416,                0.99371,                0.99682,                0.99396,                0.99293,                 1.1216,                0.05548,                 0.0046,                 0.4202,                 1.4476,              0.0008912,              0.0008912,              0.0008912
                     86,                0.70462,                0.07202,                0.05153,                0.40656,                 1.0174,                 0.9901,                0.99369,                0.99226,                 0.7108,                0.99324,                0.99685,                0.99435,                0.99394,                 1.1101,                 0.0502,                  0.003,                0.43001,                 1.4222,               0.000878,               0.000878,               0.000878
                     87,                0.69443,                0.06534,                0.05075,                 0.4018,                 1.0157,                0.99333,                0.99685,                0.99317,                0.70847,                0.99333,                0.99685,                0.99425,                0.99304,                 1.1036,                0.05175,                 0.0044,                0.42709,                  1.448,              0.0008648,              0.0008648,              0.0008648
                     88,                0.70454,                0.07562,                0.05378,                0.40817,                 1.0201,                 0.9968,                      1,                0.99484,                0.70492,                0.99365,                0.99685,                0.99419,                0.99408,                  1.146,                0.05069,                0.00244,                0.44151,                 1.4703,              0.0008516,              0.0008516,              0.0008516
                     89,                0.69103,                0.07629,                0.04405,                0.40534,                 1.0121,                0.99685,                0.99913,                0.99443,                 0.6937,                0.99371,                0.99597,                0.99317,                0.99284,                 1.0726,                0.04645,                0.00257,                0.41976,                 1.4203,              0.0008384,              0.0008384,              0.0008384
                     90,                 0.6917,                0.06798,                0.05293,                0.40474,                 1.0148,                0.99685,                0.99967,                0.99421,                0.71482,                0.99371,                0.99651,                0.99245,                 0.9923,                 1.0877,                 0.0486,                0.00322,                0.41233,                 1.4267,              0.0008252,              0.0008252,              0.0008252
                     91,                0.68321,                0.07056,                 0.0444,                0.39896,                 1.0056,                0.99345,                0.99685,                0.99415,                0.71587,                0.99345,                0.99685,                 0.9942,                0.99405,                 1.1206,                0.05033,                0.00277,                0.41583,                 1.4554,               0.000812,               0.000812,               0.000812
                     92,                 0.6648,                0.06396,                0.04301,                0.39338,                 1.0097,                0.99019,                0.99685,                0.99219,                0.72017,                0.99019,                0.99685,                0.99365,                0.99327,                 1.0732,                0.04769,                0.01006,                0.41242,                 1.4466,              0.0007988,              0.0007988,              0.0007988
                     93,                0.67584,                0.08601,                 0.0509,                 0.3977,                 1.0095,                0.99056,                 0.9934,                0.99193,                 0.6972,                0.99371,                0.99656,                0.99342,                0.99286,                 1.0873,                0.04999,                0.00356,                0.42082,                 1.4418,              0.0007856,              0.0007856,              0.0007856
                     94,                0.66177,                0.07019,                0.05644,                0.39347,                 1.0005,                0.99661,                      1,                0.99484,                 0.7003,                0.99347,                0.99685,                0.99345,                0.99283,                 1.0876,                0.05172,                0.00447,                0.42209,                 1.4679,              0.0007724,              0.0007724,              0.0007724
