epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1501.79,0.70455,0.07065,0.05432,0.42737,0.9817,0.99963,1,0.995,0.75524,0.98713,0.9875,0.98654,0.98654,1.0353,0.08657,0.00215,0.39588,1.25551,0.0007988,0.0007988,0.0007988
93,1517.81,0.70373,0.06609,0.06129,0.42647,0.99763,0.99963,1,0.995,0.76068,0.98714,0.9875,0.98719,0.98719,1.01463,0.08785,0.00311,0.36968,1.24408,0.0007856,0.0007856,0.0007856
94,1533.89,0.70567,0.0666,0.04957,0.42586,0.99751,0.99958,1,0.995,0.75191,0.98708,0.9875,0.98473,0.98473,0.98085,0.08756,0.00338,0.36542,1.20864,0.0007724,0.0007724,0.0007724
95,1550.78,0.72131,0.06194,0.05612,0.42387,0.99092,0.99959,1,0.995,0.77653,0.98709,0.9875,0.98472,0.98472,0.98761,0.09093,0.003,0.37619,1.2026,0.0007592,0.0007592,0.0007592
96,1566.67,0.69954,0.05121,0.04219,0.42022,0.98966,0.99933,1,0.995,0.76558,0.98683,0.9875,0.98717,0.98717,1.01321,0.08509,0.00205,0.3784,1.24665,0.000746,0.000746,0.000746
97,1582.95,0.69028,0.05824,0.05392,0.42658,0.9856,0.99879,1,0.995,0.76417,0.98631,0.9875,0.98661,0.98661,1.03083,0.08785,0.0056,0.37592,1.25015,0.0007328,0.0007328,0.0007328
98,1599,0.67694,0.05942,0.05068,0.40908,0.98257,0.9996,1,0.995,0.76469,0.98711,0.9875,0.98467,0.98467,0.94712,0.08443,0.00207,0.34955,1.19033,0.0007196,0.0007196,0.0007196
99,1615.96,0.69093,0.06687,0.05236,0.41412,0.98553,0.9996,1,0.995,0.76441,0.98711,0.9875,0.986,0.986,1.02307,0.08497,0.00226,0.36894,1.22632,0.0007064,0.0007064,0.0007064
100,1631.92,0.68916,0.06366,0.04907,0.4101,0.98376,0.99961,1,0.995,0.75795,0.98712,0.9875,0.98729,0.98729,0.9883,0.08534,0.00486,0.36433,1.2133,0.0006932,0.0006932,0.0006932
101,1647.71,0.67176,0.06344,0.04926,0.40191,0.98333,0.99963,1,0.995,0.77354,0.98713,0.9875,0.98589,0.98589,0.99769,0.08565,0.00298,0.36785,1.23111,0.00068,0.00068,0.00068
102,1663.95,0.67658,0.05622,0.04768,0.4025,0.98556,0.99961,1,0.995,0.76701,0.98712,0.9875,0.98766,0.98766,0.99231,0.08465,0.0033,0.36377,1.22709,0.0006668,0.0006668,0.0006668
103,1680.73,0.67198,0.0591,0.04988,0.4006,0.96965,0.99953,1,0.995,0.76787,0.98704,0.9875,0.98594,0.98594,1.00889,0.08348,0.00282,0.36548,1.26756,0.0006536,0.0006536,0.0006536
104,1696.56,0.67538,0.06339,0.05156,0.4037,0.98095,0.99962,1,0.995,0.7415,0.98713,0.9875,0.98922,0.98922,1.04368,0.08274,0.00207,0.38665,1.28052,0.0006404,0.0006404,0.0006404
105,1712.13,0.65595,0.05621,0.04662,0.3997,0.97695,0.99964,1,0.995,0.7595,0.98714,0.9875,0.98423,0.98423,0.99457,0.08304,0.0024,0.36601,1.23127,0.0006272,0.0006272,0.0006272
106,1728.57,0.66651,0.06056,0.04787,0.40676,0.97674,0.99961,1,0.995,0.76779,0.98711,0.9875,0.98559,0.98559,0.9489,0.0814,0.0033,0.35611,1.20998,0.000614,0.000614,0.000614
107,1745.19,0.66778,0.06885,0.05224,0.40764,0.98377,0.99741,1,0.995,0.77899,0.98494,0.9875,0.9839,0.9839,0.91619,0.0817,0.00345,0.3487,1.1716,0.0006008,0.0006008,0.0006008
108,1761.18,0.66455,0.0591,0.04526,0.39747,0.9747,0.99868,1,0.995,0.76002,0.9862,0.9875,0.98644,0.98644,1.04518,0.08505,0.00351,0.3782,1.28821,0.0005876,0.0005876,0.0005876
109,1776.9,0.65915,0.05829,0.04331,0.40486,0.98526,0.99602,1,0.995,0.76926,0.98349,0.9875,0.98552,0.98552,0.97273,0.08096,0.00298,0.36608,1.22115,0.0005744,0.0005744,0.0005744
110,1792.99,0.64899,0.04923,0.04239,0.39813,0.97076,0.99965,1,0.995,0.76115,0.98715,0.9875,0.98481,0.98481,0.9944,0.08011,0.00232,0.36513,1.25945,0.0005612,0.0005612,0.0005612
111,1809.39,0.653,0.05427,0.05015,0.3963,0.97376,0.99962,1,0.995,0.77978,0.98713,0.9875,0.9882,0.9882,0.95155,0.0849,0.00227,0.35939,1.20185,0.000548,0.000548,0.000548
112,1825.28,0.623,0.05044,0.04988,0.38322,0.96574,0.99963,1,0.995,0.77271,0.98714,0.9875,0.98741,0.98741,0.95839,0.08006,0.00203,0.35058,1.22585,0.0005348,0.0005348,0.0005348
113,1841.34,0.64226,0.05958,0.04319,0.39162,0.96404,0.99963,1,0.995,0.76704,0.98714,0.9875,0.98637,0.98637,1.00327,0.08387,0.00183,0.36052,1.27812,0.0005216,0.0005216,0.0005216
